"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","final_cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","cell_name"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell123"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell124"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell125"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell126"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell127"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell128"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell129"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell130"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell131"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell132"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell133"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell134"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell135"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell136"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell137"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell138"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell139"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell140"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell141"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell142"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell143"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell144"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell145"
3,6,3,3,3,3,3,3,3,3,3,0,0,0.9,0,0,0.1,0,"Cell146"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell147"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell148"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell149"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell150"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell151"
3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,"Cell152"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell153"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell154"
7,7,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0.1,0.9,"Cell155"
2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,"Cell156"
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Cell157"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell158"
7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,1,"Cell159"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell160"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell161"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell162"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell163"
6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,0,"Cell164"
5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,"Cell165"
4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,"Cell166"
